"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"35",1,"BOD1L1",0.000616176798012309,0,4.50797547186298e-05,3
"36",1,"D2HGDH",0.0006164811271326,0,4.55287758656596e-05,3
"37",2,"DIMT1",0.000662469541423592,186,0.000156678265216112,3
"38",3,"KMO",0.000714764706108478,736,0.000499248401874254,3
"39",1,"LAPTM4B",0.00066051290189245,0,0.000145494818123896,3
"40",2,"RHAG",0.00066240996593937,186,0.000157045617386661,3
"41",3,"TFR2",0.000714119786645157,554,0.000496658642901338,3
"42",2,"TM4SF18",0.000661903091193767,186,0.000155988997806924,3
"43",1,"WDR75",0.000616793143345664,0,4.51457093539121e-05,3
"44",3,"ACAT2",0.00089826329786675,371,0.000741685861207654,4
"45",1,"APOBEC3C",0.000815061799592941,0,0.000217259253612672,4
"46",4,"COA4",0.000996090711939689,4013,0.00213932204593737,4
"47",1,"CSNK2A1",0.000704693154147852,0,4.04606866254817e-05,4
"48",1,"DKC1",0.000762820831328028,0,0.000102920500387223,4
"49",1,"EGFL7",0.000759474887734669,0,8.99825394101279e-05,4
"50",2,"GUCD1",0.000705259555341069,186,4.42098869682627e-05,4
"51",4,"MANBAL",0.000765307544852333,737,0.000139660059147436,4
"52",3,"MED1",0.000833996235172977,1091,0.000356892361770075,4
"53",5,"MRPS10",0.00091385574592137,3145,0.000993120870886879,4
"54",1,"NUP205",0.000816115047340923,0,0.000214232131467373,4
"55",2,"PGC",0.000897398034257917,186,0.000673004473651405,4
"56",1,"PTDSS1",0.000653374415197235,0,1.28313581020936e-05,4
"57",1,"QRSL1",0.000829241455647048,0,0.000285830456595024,4
"58",1,"SLC25A38",0.000704814532235678,0,4.03727116932764e-05,4
"59",1,"TBC1D3K",0.000814476246323045,0,0.000196808749674162,4
"60",2,"WDR12",0.000829978638868004,186,0.000312108088825687,4
"61",3,"AGAP3",0.000815405141692456,2111,0.00560353543396723,5
"62",3,"AP3B1",0.000875302543856631,554,0.0158647809499088,5
"63",1,"ATG4A",0.000747378833329275,0,0.00161230097514948,5
"64",2,"FUBP1",0.000797979747937237,186,0.00499104643256663,5
"65",1,"KCTD6",0.000732596488496444,0,0.00143887413326759,5
"66",1,"KLRF1",0.000806043555800073,0,0.00460899867175336,5
"67",3,"NMT2",0.000885844344047247,2435,0.015999042729549,5
"68",2,"RXRB",0.0010580919431974,3340,0.125552932572044,5
"69",3,"TRIM33",0.000967119138395943,3252,0.0453472107610162,5
"70",1,"WHAMM",0.000797097135701767,0,0.00458376936911052,5
"71",1,"AQP5",0.000873707326666179,0,0.00855081370874705,6
"72",2,"ATP9A",0.000877607166668509,732,0.00939014100512522,6
"73",1,"C12orf66",0.000690908466833868,0,0.000301137493226931,6
"74",3,"CCDC15",0.000896720075393222,3975,0.0104471896104784,6
"75",4,"COA8",0.000968683758075927,4991,0.0295609415340838,6
"76",2,"EPDR1",0.000831303512828198,3340,0.00341880292044979,6
"77",2,"PIK3C2A",0.000801497161051983,552,0.002983925747998,6
"78",2,"PMPCB",0.000736416150877797,370,0.000955854398590772,6
